URL,Performance Score,Speed Index (s),LCP (s),INP (ms),CLS,Waktu Pengukuran
https://www.kampunginggris.id/kampung-inggris-online-belajar-bahasa-inggris-dirumahaja,91.0,2.17,1.53,0,0.162,2025-03-26 12:51:32
https://www.kampunginggris.id/faq,92.0,1.03,0.84,0,0.058,2025-03-26 12:52:04
https://www.kampunginggris.id/program-offline,77.0,3.18,3.04,0,0.169,2025-03-26 12:52:52
https://www.kampunginggris.id/profile-teacher,82.0,2.92,3.03,0,0,2025-03-26 12:53:31
https://www.kampunginggris.id/english-smart-kids-and-teens,64.0,1.82,3.46,0,0.029,2025-03-26 12:54:13
https://www.kampunginggris.id/toefl-mastery,72.0,2.74,2.94,0,0.005,2025-03-26 12:55:10
https://www.kampunginggris.id/program-english-master-6-bulan,89.0,1.85,1.8,0,0.016,2025-03-26 12:55:54
https://www.kampunginggris.id/program-english-master-4-bulan,51.0,5.29,5.07,0,0.08,2025-03-26 12:56:44
https://www.kampunginggris.id/program-intensive-2-minggu,85.0,1.89,3.94,0,0.016,2025-03-26 12:57:27
https://www.kampunginggris.id/homepage/karir,75.0,3.52,3.16,0,0.008,2025-03-26 12:58:07
https://www.kampunginggris.id/program-offline-lc-bogor,74.0,3.44,4.74,0,0.169,2025-03-26 12:58:55
https://www.kampunginggris.id/jogja,47.0,9.03,11.78,0,0.012,2025-03-26 12:59:38
https://www.kampunginggris.id/lampung,56.0,9.62,11.19,0,0.023,2025-03-26 13:00:22
https://www.kampunginggris.id/cabang-serang,Error,Error,Error,Error,Error,2025-03-26 13:00:51
https://www.kampunginggris.id/medan,56.0,9.02,10.78,0,0.009,2025-03-26 13:01:33
https://www.kampunginggris.id/makassar,58.0,9.94,6.65,0,0.016,2025-03-26 13:02:21
https://www.kampunginggris.id/bandung,Error,Error,Error,Error,Error,2025-03-26 13:02:50
https://www.kampunginggris.id/kampung-inggris-makassar,65.0,8.3,4.07,0,0.016,2025-03-26 13:03:32
https://www.kampunginggris.id/cabang,70.0,1.86,2.5,0,0.293,2025-03-26 13:04:06
https://www.kampunginggris.id/company_profile,98.0,2.08,2.02,0,0,2025-03-26 13:04:47
https://www.kampunginggris.id/bukukampunginggrislc,81.0,2.11,2.36,0,0.223,2025-03-26 13:05:18
https://www.kampunginggris.id/biaya,85.0,2.65,2.66,0,0,2025-03-26 13:06:01
https://www.kampunginggris.id/kampung-inggris-lc-program-vip,Error,Error,Error,Error,Error,2025-03-26 13:06:34
https://www.kampunginggris.id/privacy-policy-2,Error,Error,Error,Error,Error,2025-03-26 13:07:05
https://www.kampunginggris.id/terms-conditions-2,Error,Error,Error,Error,Error,2025-03-26 13:07:36
https://www.kampunginggris.id/rekomendasi-tempat-wisata-di-jogja,Error,Error,Error,Error,Error,2025-03-26 13:08:07
https://www.kampunginggris.id/kampung-inggris-medan,Error,Error,Error,Error,Error,2025-03-26 13:08:39
https://www.kampunginggris.id/holiday-ceria-2024,Error,Error,Error,Error,Error,2025-03-26 13:09:20
https://www.kampunginggris.id/intensive-4-bulan-bogor,70.0,2.64,4.4,0,0.022,2025-03-26 13:10:10
https://www.kampunginggris.id/intensive-3-bulan-bogor,30.0,2.66,6.09,0,0.422,2025-03-26 13:10:50
https://www.kampunginggris.id/intensive-2-bulan-bogor,46.0,2.72,6.52,0,0.369,2025-03-26 13:11:36
https://www.kampunginggris.id/intensive-1-bulan-bogor,71.0,1.82,3.63,0,0.369,2025-03-26 13:12:23
https://www.kampunginggris.id/english-smart-kids-teens-1-bulan,82.0,1.78,2.49,0,0.062,2025-03-26 13:13:10
https://www.kampunginggris.id/speaking-mastery-1-bulan,80.0,2.19,3.54,0,0.061,2025-03-26 13:13:52
https://www.kampunginggris.id/speaking-mastery-2-minggu,90.0,1.58,1.89,0,0.012,2025-03-26 13:14:38
https://www.kampunginggris.id/intensive-online-class-2-weeks,78.0,2.22,3.81,0,0.003,2025-03-26 13:15:18
https://www.kampunginggris.id/intensive-online-class-1-bulan,92.0,1.79,2.56,0,0.003,2025-03-26 13:16:05
https://www.kampunginggris.id/terms-conditions,93.0,1.58,1.31,0,0.113,2025-03-26 13:16:40
https://www.kampunginggris.id/privacy-policy,74.0,2.84,2.53,0,0.351,2025-03-26 13:17:17
https://www.kampunginggris.id/integrated-english-book,68.0,4.75,5.19,0,0.005,2025-03-26 13:17:52
https://www.kampunginggris.id/holiday-ceria,75.0,2.04,2.44,0,0.278,2025-03-26 13:18:29
https://www.kampunginggris.id/palembang,78.0,2.83,1.73,0,0.268,2025-03-26 13:19:00
https://www.kampunginggris.id/semarang,97.0,2.17,1.3,0,0.004,2025-03-26 13:19:33
https://www.kampunginggris.id/program/paket-intensive-kampung-inggris-lc/paket-intensive-1-bulan,67.0,1.52,1.88,0,0.289,2025-03-26 13:20:05
https://www.kampunginggris.id/waiting-list-bandung,98.0,1.87,1.06,0,0.004,2025-03-26 13:20:37
https://www.kampunginggris.id/waiting-list-jogja,73.0,2.75,1.27,0,0.232,2025-03-26 13:21:10
https://www.kampunginggris.id/bekasi,84.0,2.17,1.48,0,0.005,2025-03-26 13:21:43
https://www.kampunginggris.id/form-tanya-cs-cabang,96.0,1.32,2.53,0,0.028,2025-03-26 13:22:15
https://www.kampunginggris.id/cabang-lc,82.0,5.26,3.53,0,0.004,2025-03-26 13:23:05
https://www.kampunginggris.id/lp-cabang-kampung-inggris,70.0,7.59,5.04,0,0.005,2025-03-26 13:23:54
https://www.kampunginggris.id/kebijakan-privasi-kimo-by-kampung-inggris-lc,97.0,1.5,1.3,0,0.022,2025-03-26 13:24:25
https://www.kampunginggris.id/program/holiday-ceria-kampung-inggris-pare-2020,Error,Error,Error,Error,Error,2025-03-26 13:25:00
https://www.kampunginggris.id/program/paket-kampung-inggris-full-service/paket-full-service-1-bulan,76.0,1.32,1.94,0,0.279,2025-03-26 13:25:32
https://www.kampunginggris.id/paket-traveler-2-bulan-lc,72.0,2.59,3.21,0,0.316,2025-03-26 13:26:05
https://www.kampunginggris.id/program/paket-intensive-toefl-lc,74.0,2.37,1.49,0,0.312,2025-03-26 13:26:38
https://www.kampunginggris.id/jakarta,89.0,4.12,1.1,0,0.007,2025-03-26 13:27:10
https://www.kampunginggris.id/intensive-online-class-4-bulan,85.0,1.64,2.46,0,0.002,2025-03-26 13:27:53
https://www.kampunginggris.id/program/paket-intensive-kampung-inggris-lc,75.0,1.93,2.91,0,0.303,2025-03-26 13:28:26
https://www.kampunginggris.id/paket-traveler-1-bulan-lc,77.0,2.25,2.95,0,0.311,2025-03-26 13:28:58
https://www.kampunginggris.id/program/paket-intensive-kampung-inggris-lc/paket-intensive-2-minggu,79.0,1.41,0.9,0,0.291,2025-03-26 13:29:33
https://www.kampunginggris.id/program/paket-intensive-kampung-inggris-lc/paket-intensive-2-bulan,82.0,1.49,2.07,0,0.286,2025-03-26 13:30:05
https://www.kampunginggris.id/program/paket-holiday-kampung-inggris-lc/paket-holiday-full-service-kampung-inggris,66.0,1.79,2.46,0,0.641,2025-03-26 13:30:40
https://www.kampunginggris.id/program/paket-intensive-kampung-inggris-lc/paket-intensive-3-bulan,73.0,1.66,2.72,0,0.308,2025-03-26 13:31:20
https://www.kampunginggris.id/program/paket-kampung-inggris-full-service,53.0,2.29,2.93,0,0.342,2025-03-26 13:31:55
https://www.kampunginggris.id/homepage-lc-kreasiads-contoh,78.0,2.5,3.35,0,0.005,2025-03-26 13:32:36
https://www.kampunginggris.id/kampung-inggris-lc,74.0,2.98,3.95,0,0.193,2025-03-26 13:33:11
https://www.kampunginggris.id/paket-traveler-2-minggu-kampung-inggris-lc,65.0,3.03,4.08,0,0.317,2025-03-26 13:33:44
https://www.kampunginggris.id/program/paket-holiday-kampung-inggris-lc/paket-holiday-intensive-lc,75.0,2.39,2.88,0,0.328,2025-03-26 13:34:18
https://www.kampunginggris.id/tata-tertib-siswa,99.0,1.08,0.96,0,0,2025-03-26 13:34:49
https://www.kampunginggris.id/program/placement-test-kampung-inggris-lc,77.0,1.68,1.98,0,0.391,2025-03-26 13:35:21
https://www.kampunginggris.id/program/program-kampung-inggris-lc/scratch-writing,73.0,1.93,2.37,0,0.306,2025-03-26 13:35:52
https://www.kampunginggris.id/paket-traveler-3-bulan,79.0,2.12,1.78,0,0,2025-03-26 13:36:27
https://www.kampunginggris.id/program/program-kampung-inggris-lc/shout-out-vocab,67.0,1.52,1.76,0,0.341,2025-03-26 13:37:04
https://www.kampunginggris.id/program/program-kampung-inggris-lc/stand-up-speak,75.0,2.59,3.1,0,0.254,2025-03-26 13:37:37
https://www.kampunginggris.id/program/program-kampung-inggris-lc/slapjack-pronun,69.0,1.6,1.87,0,0.413,2025-03-26 13:38:07
https://www.kampunginggris.id/cart,70.0,2.65,1.45,0,0.011,2025-03-26 13:38:43
https://www.kampunginggris.id/checkout-2,89.0,2.31,1.76,0,0.022,2025-03-26 13:39:16
https://www.kampunginggris.id/dashboard11,78.0,2.2,1.36,0,0,2025-03-26 13:39:55
https://www.kampunginggris.id/dashboard-2,80.0,2.2,1.33,0,0,2025-03-26 13:40:30
https://www.kampunginggris.id/instructor-registration-page-2,84.0,2.43,1.47,0,0.037,2025-03-26 13:41:07
https://www.kampunginggris.id/instructor-registration-page,85.0,2.66,1.59,0,0.037,2025-03-26 13:41:45
https://www.kampunginggris.id/dashboard-page,77.0,2.71,1.41,0,0.022,2025-03-26 13:42:26
https://www.kampunginggris.id/instructor-registration,78.0,2.73,1.75,0,0.022,2025-03-26 13:43:16
https://www.kampunginggris.id/student-registration,93.0,1.98,1.36,0,0.022,2025-03-26 13:43:49
https://www.kampunginggris.id/home-v1-2,75.0,11.19,2.1,0,0.0,2025-03-26 13:44:30
https://www.kampunginggris.id/pendaftaran,81.0,1.73,1.16,0,0.022,2025-03-26 13:45:04
https://www.kampunginggris.id/my-account,68.0,3.15,2.01,0,0.0,2025-03-26 13:46:46
https://www.kampunginggris.id/cart-2,68.0,2.99,1.81,0,0,2025-03-26 13:48:07
https://www.kampunginggris.id/shop-2,71.0,1.77,1.11,0,0,2025-03-26 13:49:24
https://www.kampunginggris.id/paket-holiday-ceria-1-bulan-kampung-inggris-lc-2021,52.0,3.31,2.43,0,0.336,2025-03-26 13:50:21
https://www.kampunginggris.id/program,Error,Error,Error,Error,Error,2025-03-26 13:51:01
https://www.kampunginggris.id/info-akademik,73.0,1.13,0.95,0,0,2025-03-26 13:51:47
https://www.kampunginggris.id/lebaran-ceria-kampung-inggris,52.0,2.99,3.22,0,0.285,2025-03-26 13:52:32
https://www.kampunginggris.id/ramadhan-ceria-kampung-inggris,56.0,1.98,2.43,0,0.285,2025-03-26 13:53:25
https://www.kampunginggris.id/program/paket-intensive-toefl-lc/paket-intensive-toefl-1-bulan,50.0,2.94,2.81,0,0.69,2025-03-26 13:54:06
https://www.kampunginggris.id/hubungi-kami,80.0,1.6,1.38,0,0.022,2025-03-26 13:54:49
https://www.kampunginggris.id/courses-overview,74.0,2.24,1.34,0,0,2025-03-26 13:55:33
https://www.kampunginggris.id/my-courses,74.0,3.7,1.0,0,0,2025-03-26 13:56:15
https://www.kampunginggris.id/instructor-registration-2,79.0,1.33,1.0,0,0,2025-03-26 13:56:55
https://www.kampunginggris.id/giveaway,62.0,1.92,3.9,0,0.049,2025-03-26 13:57:44
https://www.kampunginggris.id/program/program-kampung-inggris-lc/program-toefl-kampung-inggris-language-center,61.0,1.75,0.92,0,0.388,2025-03-26 13:58:26
https://www.kampunginggris.id/tentang-kami,76.0,2.85,2.69,0,0.024,2025-03-26 13:59:11
https://www.kampunginggris.id/program/program-kampung-inggris-lc,61.0,2.55,1.08,0,0.381,2025-03-26 13:59:53
https://www.kampunginggris.id/syarat-dan-ketentuan,63.0,1.52,1.64,0,0.383,2025-03-26 14:00:27
https://www.kampunginggris.id/home,69.0,2.34,3.44,0,0,2025-03-26 14:01:01
https://www.kampunginggris.id/beasiswa-kampung-inggris-teacher-training-skill,56.0,2.16,2.26,0,0.513,2025-03-26 14:01:35
https://www.kampunginggris.id/home-v1,67.0,3.41,3.8,0,0.022,2025-03-26 14:02:08
https://www.kampunginggris.id/home-v1-mobile-only,71.0,2.64,2.54,0,0,2025-03-26 14:02:44
https://www.kampunginggris.id/daftar-lc,78.0,2.24,1.93,0,0.006,2025-03-26 14:03:23
https://www.kampunginggris.id/ayodaftar3,63.0,1.0,0.91,0,0.303,2025-03-26 14:04:01
https://www.kampunginggris.id/terms-and-conditions-2,87.0,1.2,0.9,0,0,2025-03-26 14:04:42
https://www.kampunginggris.id/account,82.0,1.68,1.0,0,0.022,2025-03-26 14:05:18
https://www.kampunginggris.id/checkout,75.0,1.74,1.0,0,0.022,2025-03-26 14:05:56
https://www.kampunginggris.id/kebijakan-privasi,Error,Error,Error,Error,Error,2025-03-26 14:06:22
https://www.kampunginggris.id/activity,92.0,1.9,1.2,0,0.022,2025-03-26 14:06:53
https://www.kampunginggris.id/members,99.0,1.36,0.93,0,0,2025-03-26 14:07:25
https://www.kampunginggris.id/pendaftaran-siswa,Error,Error,Error,Error,Error,2025-03-26 14:07:50
